generation,x,y,r,c,score
458,285.000000,195.000000,73.000000,a,73.000000
459,285.000000,195.000000,73.000000,a,73.000000
460,285.000000,195.000000,73.000000,a,73.000000
461,285.000000,195.000000,73.000000,a,73.000000
462,285.000000,195.000000,73.000000,a,73.000000
463,285.000000,195.000000,73.000000,a,73.000000
464,285.000000,195.000000,73.000000,a,73.000000
465,285.000000,195.000000,73.000000,a,73.000000
466,285.000000,195.000000,73.000000,a,73.000000
467,285.000000,195.000000,73.000000,a,73.000000
468,285.000000,195.000000,73.000000,a,73.000000
469,285.000000,195.000000,73.000000,a,73.000000
470,285.000000,195.000000,73.000000,a,73.000000
471,285.000000,195.000000,73.000000,a,73.000000
472,285.000000,195.000000,73.000000,a,73.000000
473,285.000000,195.000000,73.000000,a,73.000000
474,285.000000,195.000000,73.000000,a,73.000000
475,285.000000,195.000000,73.000000,a,73.000000
476,285.000000,195.000000,73.000000,a,73.000000
477,285.000000,195.000000,73.000000,a,73.000000
478,285.000000,195.000000,73.000000,a,73.000000
479,285.000000,195.000000,73.000000,a,73.000000
480,285.000000,195.000000,73.000000,a,73.000000
481,285.000000,195.000000,73.000000,a,73.000000
482,285.000000,195.000000,73.000000,a,73.000000
483,285.000000,195.000000,73.000000,a,73.000000
484,285.000000,195.000000,73.000000,a,73.000000
485,285.000000,195.000000,73.000000,a,73.000000
486,285.000000,195.000000,73.000000,a,73.000000
487,285.000000,195.000000,73.000000,a,73.000000
488,285.000000,195.000000,73.000000,a,73.000000
489,285.000000,195.000000,73.000000,a,73.000000
490,285.000000,195.000000,73.000000,a,73.000000
491,285.000000,195.000000,73.000000,a,73.000000
492,285.000000,195.000000,73.000000,a,73.000000
493,285.000000,195.000000,73.000000,a,73.000000
494,285.000000,195.000000,73.000000,a,73.000000
495,285.000000,195.000000,73.000000,a,73.000000
496,285.000000,195.000000,73.000000,a,73.000000
497,285.000000,195.000000,73.000000,a,73.000000
498,285.000000,195.000000,73.000000,a,73.000000
499,285.000000,195.000000,73.000000,a,73.000000
500,285.000000,195.000000,73.000000,a,73.000000
501,285.000000,195.000000,73.000000,a,73.000000
502,285.000000,195.000000,73.000000,a,73.000000
503,285.000000,195.000000,73.000000,a,73.000000
504,285.000000,195.000000,73.000000,a,73.000000
505,285.000000,195.000000,73.000000,a,73.000000
506,285.000000,195.000000,73.000000,a,73.000000
507,285.000000,195.000000,73.000000,a,73.000000
508,285.000000,195.000000,73.000000,a,73.000000
509,285.000000,195.000000,73.000000,a,73.000000
510,285.000000,195.000000,73.000000,a,73.000000
511,285.000000,195.000000,73.000000,a,73.000000
512,285.000000,195.000000,73.000000,a,73.000000
513,285.000000,195.000000,73.000000,a,73.000000
514,285.000000,195.000000,73.000000,a,73.000000
515,285.000000,195.000000,73.000000,a,73.000000
516,285.000000,195.000000,73.000000,a,73.000000
517,285.000000,195.000000,73.000000,a,73.000000
518,285.000000,195.000000,73.000000,a,73.000000
519,285.000000,195.000000,73.000000,a,73.000000
520,285.000000,195.000000,73.000000,a,73.000000
521,285.000000,195.000000,73.000000,a,73.000000
522,285.000000,195.000000,73.000000,a,73.000000
523,285.000000,195.000000,73.000000,a,73.000000
524,285.000000,195.000000,73.000000,a,73.000000
525,285.000000,195.000000,73.000000,a,73.000000
526,285.000000,195.000000,73.000000,a,73.000000
527,285.000000,195.000000,73.000000,a,73.000000
528,285.000000,195.000000,73.000000,a,73.000000
529,285.000000,195.000000,73.000000,a,73.000000
530,285.000000,195.000000,73.000000,a,73.000000
531,285.000000,195.000000,73.000000,a,73.000000
532,285.000000,195.000000,73.000000,a,73.000000
533,285.000000,195.000000,73.000000,a,73.000000
534,285.000000,195.000000,73.000000,a,73.000000
535,285.000000,195.000000,73.000000,a,73.000000
536,285.000000,195.000000,73.000000,a,73.000000
537,285.000000,195.000000,73.000000,a,73.000000
538,285.000000,195.000000,73.000000,a,73.000000
539,285.000000,195.000000,73.000000,a,73.000000
540,285.000000,195.000000,73.000000,a,73.000000
541,285.000000,195.000000,73.000000,a,73.000000
542,285.000000,195.000000,73.000000,a,73.000000
543,285.000000,195.000000,73.000000,a,73.000000
544,285.000000,195.000000,73.000000,a,73.000000
545,285.000000,195.000000,73.000000,a,73.000000
546,285.000000,195.000000,73.000000,a,73.000000
547,285.000000,195.000000,73.000000,a,73.000000
548,285.000000,195.000000,73.000000,a,73.000000
549,285.000000,195.000000,73.000000,a,73.000000
550,285.000000,195.000000,73.000000,a,73.000000
551,285.000000,195.000000,73.000000,a,73.000000
552,285.000000,195.000000,73.000000,a,73.000000
553,285.000000,195.000000,73.000000,a,73.000000
554,285.000000,195.000000,73.000000,a,73.000000
555,285.000000,195.000000,73.000000,a,73.000000
556,285.000000,195.000000,73.000000,a,73.000000
557,285.000000,195.000000,73.000000,a,73.000000
558,285.000000,195.000000,73.000000,a,73.000000
559,285.000000,195.000000,73.000000,a,73.000000
560,285.000000,195.000000,73.000000,a,73.000000
561,285.000000,195.000000,73.000000,a,73.000000
562,285.000000,195.000000,73.000000,a,73.000000
563,285.000000,195.000000,73.000000,a,73.000000
564,285.000000,195.000000,73.000000,a,73.000000
565,285.000000,195.000000,73.000000,a,73.000000
566,285.000000,195.000000,73.000000,a,73.000000
567,285.000000,195.000000,73.000000,a,73.000000
568,285.000000,195.000000,73.000000,a,73.000000
569,285.000000,195.000000,73.000000,a,73.000000
570,285.000000,195.000000,73.000000,a,73.000000
571,285.000000,195.000000,73.000000,a,73.000000
572,285.000000,195.000000,73.000000,a,73.000000
573,285.000000,195.000000,73.000000,a,73.000000
574,285.000000,195.000000,73.000000,a,73.000000
575,285.000000,195.000000,73.000000,a,73.000000
576,285.000000,195.000000,73.000000,a,73.000000
577,285.000000,195.000000,73.000000,a,73.000000
578,285.000000,195.000000,73.000000,a,73.000000
579,285.000000,195.000000,73.000000,a,73.000000
580,285.000000,195.000000,73.000000,a,73.000000
