generation,score
729,3396.778510
730,3390.067504
731,4082.510513
732,3692.155424
733,3390.212921
734,3962.641958
735,3962.641958
736,4297.970465
737,4297.970465
738,3868.106406
739,4031.418643
740,4031.418643
741,3747.906653
742,3887.704797
743,3871.044159
744,3579.147998
745,3871.044159
746,3871.044159
747,3871.044159
748,3871.044159
749,3914.536097
750,3914.536097
751,3871.044159
752,3820.164499
753,3914.536097
754,3840.768948
755,3600.681893
756,3600.681893
757,4056.652204
758,4086.981584
759,4086.981584
760,4030.104245
761,4217.297176
762,4217.297176
763,4217.297176
764,4133.849785
765,4217.297176
766,4217.297176
767,4143.530027
768,4217.297176
769,3622.477771
770,3622.477771
771,4473.220832
772,4694.140964
773,4506.948033
774,4382.997011
775,4496.880337
776,4473.220832
777,4259.768462
778,4473.220832
779,4446.777279
780,4271.049192
781,4177.523389
782,4019.860189
783,4019.860189
784,4196.038880
785,4473.220832
786,4253.861783
787,4408.505579
788,4473.220832
789,3878.401427
790,4348.453105
791,4558.521733
792,4343.367290
793,4558.521733
794,4286.331144
795,4674.620613
796,4674.620613
797,4674.620613
798,4546.389674
799,4650.220709
800,4650.220709
801,4462.930156
802,4704.228552
803,4146.216434
804,4650.220709
805,4650.220709
806,3869.510083
807,4280.227499
808,4280.227499
809,4469.456585
810,4796.944522
811,4796.944522
812,4700.995920
813,4700.995920
814,4374.783370
815,4227.408077
816,4057.486396
817,4373.139269
818,4410.941358
819,3963.723132
820,4385.266281
821,4426.500527
822,4426.500527
823,4486.752076
824,4486.752076
825,4471.014692
826,4496.281252
827,4496.281252
828,4445.380253
829,4445.380253
830,3914.382811
831,4445.380253
832,4445.380253
833,4375.599529
834,3914.382811
835,4244.595502
836,4283.797381
837,4445.380253
838,4256.493814
839,4149.102989
840,4079.827932
841,4079.827932
842,4069.235218
843,4040.128435
844,4047.888567
845,4199.479495
846,4195.237994
847,4701.538673
848,4432.850731
849,4656.297040
850,4298.754358
851,4656.297040
852,4651.599276
853,4651.599276
854,4392.312633
855,4413.335213
856,4404.785230
857,4212.977866
858,4212.977866
859,4327.653223
860,4035.188059
861,4035.188059
862,4035.188059
863,4288.336829
864,4385.788571
865,4415.263538
866,4115.234294
867,4166.408401
868,4166.408401
869,4166.408401
870,4209.279999
871,4209.279999
872,3836.326766
873,4209.279999
874,4382.143110
875,4382.143110
876,4321.858050
877,4204.645705
878,4382.143110
879,4382.143110
880,4335.280841
881,4047.704286
882,3958.575499
883,4117.049073
884,4238.793804
885,4235.966648
886,4444.698377
887,4320.368967
888,3974.322715
889,4248.716777
890,3736.300393
891,4036.636340
892,4248.716777
893,4248.716777
894,4661.702001
895,4285.801027
896,4243.133791
897,4682.365741
898,4378.841138
899,4100.523947
900,4206.442001
901,4258.124540
902,4104.457406
903,3947.280060
904,4257.596575
905,4318.219119
906,3975.887491
907,4318.219119
908,4141.286949
909,3972.559240
910,3832.204658
911,3972.559240
912,4043.690809
913,4051.001206
914,4135.951555
915,4051.001206
916,3989.341825
917,3989.341825
918,4344.344537
919,4344.344537
920,4337.026980
921,3957.992932
922,4079.850302
923,4079.850302
924,3796.324877
925,3832.100622
926,3832.100622
927,3902.549555
928,3928.753334
929,3795.798072
930,3795.798072
931,3906.425139
932,4036.237533
933,4028.154474
934,4243.030487
935,4243.030487
936,4138.560131
937,4138.560131
938,4138.560131
939,4138.560131
940,3876.921477
941,3876.921477
942,3661.883414
943,3628.642075
944,3867.447690
945,3867.447690
946,3867.447690
947,3876.921477
948,3867.447690
949,3742.515817
950,3742.515817
951,3742.515817
952,3742.515817
953,3742.515817
954,3323.846484
955,3536.335506
956,3742.515817
957,3742.515817
958,3742.515817
959,3663.507493
960,3572.557951
961,3522.363613
962,3522.363613
963,3522.363613
964,3742.515817
965,3742.515817
966,3740.134654
967,3997.204876
968,3742.515817
969,3918.196552
970,4036.119835
971,4036.119835
972,4036.119835
973,3995.017758
974,4080.291056
975,3613.162015
976,3859.242908
977,3934.303564
978,3934.303564
979,3815.881798
980,3737.891672
981,3535.570611
982,3737.891672
983,3737.891672
984,3662.342455
985,3737.891672
986,3737.891672
987,3737.891672
988,3672.037815
989,3440.714287
990,3440.714287
991,3440.714287
992,3318.546077
993,3318.546077
994,3318.546077
995,3672.037815
996,3672.037815
997,3672.037815
998,3600.748392
